layer,intervention_type,step,val_iia,test_iia,n_val,n_test,load_dir
15,carry_over,0,0.0,0.0,69.0,69.0,outputs/5_epochs/boundless_das_layer15_carry_over_step0/intervention
15,carry_over,1,0.10606060606060606,0.09876543209876543,66.0,81.0,outputs/5_epochs/boundless_das_layer15_carry_over_step1/intervention
15,write_down,0,0.20634920634920634,0.16049382716049382,189.0,162.0,outputs/5_epochs/boundless_das_layer15_write_down_step0/intervention
15,write_down,1,0.11864406779661017,0.11518324607329843,177.0,191.0,outputs/5_epochs/boundless_das_layer15_write_down_step1/intervention
20,carry_over,0,0.0,0.0,69.0,69.0,outputs/5_epochs/boundless_das_layer20_carry_over_step0/intervention
20,carry_over,1,0.0,0.0,66.0,81.0,outputs/5_epochs/boundless_das_layer20_carry_over_step1/intervention
25,carry_over,0,0.0,0.0,69.0,69.0,outputs/5_epochs/boundless_das_layer25_carry_over_step0/intervention
20,write_down,0,0.25925925925925924,0.2345679012345679,189.0,162.0,outputs/5_epochs/boundless_das_layer20_write_down_step0/intervention
20,write_down,1,0.005649717514124294,0.020942408376963352,177.0,191.0,outputs/5_epochs/boundless_das_layer20_write_down_step1/intervention
25,carry_over,1,0.0,0.0,66.0,81.0,outputs/5_epochs/boundless_das_layer25_carry_over_step1/intervention
10,carry_over,0,0.0,0.0,69.0,69.0,outputs/5_epochs/boundless_das_layer10_carry_over_step0/intervention
25,write_down,0,0.0,0.0,189.0,162.0,outputs/5_epochs/boundless_das_layer25_write_down_step0/intervention
25,write_down,1,0.0,0.0,177.0,191.0,outputs/5_epochs/boundless_das_layer25_write_down_step1/intervention
10,carry_over,1,0.30303030303030304,0.3333333333333333,66.0,81.0,outputs/5_epochs/boundless_das_layer10_carry_over_step1/intervention
5,carry_over,0,0.0,0.0,69.0,69.0,outputs/5_epochs/boundless_das_layer5_carry_over_step0/intervention
10,write_down,0,0.2698412698412698,0.30246913580246915,189.0,162.0,outputs/5_epochs/boundless_das_layer10_write_down_step0/intervention
10,write_down,1,0.04519774011299435,0.09947643979057591,177.0,191.0,outputs/5_epochs/boundless_das_layer10_write_down_step1/intervention
5,carry_over,1,0.0,0.0,66.0,81.0,outputs/5_epochs/boundless_das_layer5_carry_over_step1/intervention
5,write_down,0,0.21164021164021163,0.1728395061728395,189.0,162.0,outputs/5_epochs/boundless_das_layer5_write_down_step0/intervention
5,write_down,1,0.0,0.0,177.0,191.0,outputs/5_epochs/boundless_das_layer5_write_down_step1/intervention
